                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7305,                 3.6655,                 1.7457,                0.06735,                   0.05,                0.02406,                0.00849,                 2.3491,                 3.6793,                 2.2224,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.6067,                 3.0164,                 1.6738,                 0.2533,                0.16667,                0.14316,                0.04302,                 2.2756,                 3.3825,                 2.3405,               0.084666,              0.0016663,              0.0016663
                      2,                 1.5487,                 2.3915,                 1.6035,                0.45333,                 0.2881,                0.25677,                0.10408,                 2.2534,                  2.693,                 2.2845,               0.076497,               0.002497,               0.002497
                      3,                 1.3857,                 2.0402,                 1.5119,                0.32876,                0.30916,                0.25477,                0.08545,                 2.1147,                 2.5445,                 2.3011,               0.068292,              0.0032921,              0.0032921
                      4,                 1.3074,                  1.798,                 1.4872,                0.57187,                0.34524,                 0.3909,                0.16225,                 2.2265,                 2.2443,                 2.3352,               0.060052,              0.0040515,              0.0040515
                      5,                 1.1374,                 1.5506,                 1.3809,                 0.4856,                0.35435,                0.35703,                0.15926,                 2.2173,                 2.3482,                  2.363,               0.051775,              0.0047753,              0.0047753
                      6,                 1.0483,                 1.5229,                 1.3423,                0.52648,                0.53571,                0.44293,                0.19643,                 2.2323,                 1.9793,                 2.1555,               0.043463,              0.0054634,              0.0054634
                      7,                 1.0809,                 1.4813,                 1.3333,                0.60701,                0.53929,                0.54735,                0.26055,                 2.1463,                 1.9033,                 2.1049,               0.035116,              0.0061159,              0.0061159
                      8,                 1.0009,                 1.3162,                  1.254,                0.53864,                 0.4131,                0.41584,                0.15112,                 2.3884,                 2.2642,                 2.2916,               0.026733,              0.0067328,              0.0067328
                      9,                0.96878,                  1.162,                 1.2367,                0.71821,                0.39901,                0.46771,                0.19112,                 2.2573,                 2.1432,                 2.2279,               0.018314,               0.007314,               0.007314
                     10,                0.97624,                  1.133,                 1.2235,                0.44297,                0.35758,                0.34226,                0.11387,                 2.3022,                 2.3086,                 2.3218,              0.0098596,              0.0078596,              0.0078596
                     11,                0.95818,                  1.089,                 1.2169,                0.46881,                0.46071,                0.45426,                0.17886,                 2.3089,                 1.8028,                 2.4268,               0.007822,               0.007822,               0.007822
                     12,                 0.9602,                 1.0483,                 1.1779,                0.65947,                0.48355,                0.49354,                0.19279,                 2.2399,                 1.9747,                 2.3292,               0.007822,               0.007822,               0.007822
                     13,                0.92715,                  1.073,                 1.1761,                0.55002,                0.62384,                0.54093,                0.19413,                 2.3942,                 1.7891,                 2.4747,               0.007624,               0.007624,               0.007624
                     14,                0.91371,                 1.0076,                   1.18,                0.55541,                0.27262,                0.22365,                0.09546,                 2.4023,                 3.1681,                 2.4442,               0.007426,               0.007426,               0.007426
                     15,                0.95335,                0.97933,                 1.2006,                0.50857,                0.35578,                0.41153,                0.16847,                 2.1601,                 2.2345,                 2.1857,               0.007228,               0.007228,               0.007228
                     16,                0.91487,                0.97875,                 1.1602,                0.45898,                0.58452,                0.46673,                0.17508,                 2.1966,                  2.077,                 2.2594,                0.00703,                0.00703,                0.00703
                     17,                0.90861,                0.93293,                 1.1811,                0.37254,                0.39124,                0.33028,                0.10296,                 2.4662,                 2.6564,                 2.6632,               0.006832,               0.006832,               0.006832
                     18,                0.91714,                0.89516,                 1.1799,                0.62919,                 0.4619,                0.55019,                0.22691,                 2.3096,                 1.6863,                 2.5332,               0.006634,               0.006634,               0.006634
                     19,                 0.8695,                0.77755,                 1.1327,                0.59525,                0.42062,                0.44768,                0.18594,                 2.2832,                 1.8619,                 2.2946,               0.006436,               0.006436,               0.006436
