                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.739,                 2.7246,                 1.7883,                0.20704,                0.43424,                0.16732,                0.05827,                 2.2363,                 2.8389,                 2.3842,               0.070263,              0.0033041,              0.0033041
                      1,                 1.4514,                 1.9769,                 1.5475,                0.38808,                0.43311,                0.35202,                0.11324,                 2.2905,                 2.7266,                 2.3275,               0.040197,              0.0065717,              0.0065717
                      2,                 1.3878,                  1.683,                 1.4543,                0.44795,                0.52054,                0.44537,                0.15405,                 2.2015,                 2.7243,                 2.1971,               0.010066,              0.0097733,              0.0097733
                      3,                 1.4043,                 1.5925,                 1.4622,                0.24873,                0.15039,                0.12385,                0.04001,                 2.8706,                  4.753,                 3.1089,               0.009703,               0.009703,               0.009703
                      4,                 1.3789,                 1.4793,                 1.4432,                0.43566,                 0.5772,                0.49869,                0.18042,                 2.5124,                 2.1145,                 2.5174,               0.009703,               0.009703,               0.009703
                      5,                 1.3605,                 1.3834,                 1.4187,                0.55331,                0.56678,                0.54867,                0.18986,                 2.4334,                 2.6231,                 2.3806,               0.009604,               0.009604,               0.009604
                      6,                 1.3412,                 1.3574,                   1.41,                0.53786,                0.55018,                0.52474,                0.17583,                 2.3774,                 2.2205,                 2.2358,               0.009505,               0.009505,               0.009505
                      7,                 1.3122,                 1.2842,                   1.38,                0.57828,                0.61942,                0.61505,                0.22604,                  2.186,                 1.8305,                 2.0867,               0.009406,               0.009406,               0.009406
                      8,                 1.2971,                 1.2382,                 1.3781,                 0.6695,                0.63024,                0.68067,                0.27851,                  2.163,                 2.0863,                 2.1228,               0.009307,               0.009307,               0.009307
                      9,                 1.2579,                 1.2344,                 1.3501,                0.48515,                0.53817,                0.45425,                0.13003,                  2.646,                 2.5211,                 2.5229,               0.009208,               0.009208,               0.009208
                     10,                 1.2417,                 1.1413,                 1.3365,                0.76123,                0.66678,                0.71987,                0.31149,                 2.1269,                 1.7623,                 2.0849,               0.009109,               0.009109,               0.009109
                     11,                  1.215,                 1.0922,                 1.3221,                0.60127,                0.75407,                0.72485,                0.27272,                 2.2089,                 1.6423,                 2.1439,                0.00901,                0.00901,                0.00901
                     12,                 1.1988,                 1.0762,                  1.319,                0.66897,                0.66838,                0.68087,                0.29999,                 2.1332,                 1.8284,                 2.0408,               0.008911,               0.008911,               0.008911
                     13,                 1.1788,                 1.0369,                 1.3006,                0.68066,                0.55467,                0.64023,                0.29357,                  2.088,                 1.6418,                  2.076,               0.008812,               0.008812,               0.008812
                     14,                 1.1784,                 1.0173,                 1.2896,                0.65328,                0.74273,                0.71175,                0.29246,                 2.0457,                 1.6657,                 1.9419,               0.008713,               0.008713,               0.008713
                     15,                 1.1647,                0.98245,                 1.2887,                0.80403,                0.74435,                0.77613,                0.35934,                 2.0093,                 1.3887,                 1.9877,               0.008614,               0.008614,               0.008614
                     16,                 1.1386,                0.96212,                  1.265,                0.79388,                0.76279,                0.80465,                0.36625,                   1.91,                 1.2479,                  1.882,               0.008515,               0.008515,               0.008515
                     17,                 1.1093,                 0.9393,                 1.2588,                0.76457,                0.67266,                 0.7448,                0.30958,                 2.0021,                 1.3528,                 1.9179,               0.008416,               0.008416,               0.008416
                     18,                 1.1017,                0.93162,                 1.2446,                0.79287,                 0.7555,                0.78408,                0.33487,                 2.0713,                 1.2972,                 2.0694,               0.008317,               0.008317,               0.008317
                     19,                 1.0946,                0.90008,                 1.2363,                0.69311,                0.81477,                0.79201,                0.32394,                 2.0443,                  1.152,                 1.9225,               0.008218,               0.008218,               0.008218
                     20,                 1.0718,                0.88234,                   1.22,                0.68897,                0.74076,                0.74898,                0.33626,                 1.9626,                 1.2963,                 1.8933,               0.008119,               0.008119,               0.008119
                     21,                 1.0547,                0.85143,                 1.2179,                 0.7599,                 0.7186,                0.78416,                0.37325,                 1.8886,                 1.3392,                 1.8807,                0.00802,                0.00802,                0.00802
                     22,                 1.0467,                 0.8351,                 1.2047,                0.85294,                0.74843,                0.82665,                0.34935,                 1.9696,                 1.1395,                  1.937,               0.007921,               0.007921,               0.007921
                     23,                 1.0301,                0.82826,                 1.1988,                0.75258,                0.76992,                0.80434,                0.34781,                 1.9193,                 1.1353,                 1.8056,               0.007822,               0.007822,               0.007822
                     24,                 1.0289,                0.81609,                 1.1941,                0.83138,                0.79525,                0.85369,                0.41194,                 1.8411,                 1.1413,                 1.7734,               0.007723,               0.007723,               0.007723
                     25,                 1.0035,                0.79673,                 1.1764,                0.92216,                0.81747,                 0.9038,                0.46329,                 1.7057,                 0.9979,                 1.6699,               0.007624,               0.007624,               0.007624
                     26,                 1.0151,                0.80508,                 1.1885,                0.78186,                0.78887,                0.81502,                0.42577,                   1.85,                 1.0612,                 1.8227,               0.007525,               0.007525,               0.007525
                     27,                  1.004,                0.77799,                 1.1737,                0.75476,                0.81539,                0.82863,                0.40544,                 1.8374,                 1.1124,                 1.8047,               0.007426,               0.007426,               0.007426
                     28,                0.97715,                0.75838,                 1.1648,                0.85873,                0.76026,                0.85628,                0.41503,                 1.7947,                0.99525,                 1.7507,               0.007327,               0.007327,               0.007327
                     29,                0.96834,                0.74717,                 1.1565,                0.85236,                 0.7436,                0.81396,                0.34827,                  1.915,                 1.1516,                 1.8234,               0.007228,               0.007228,               0.007228
                     30,                0.97392,                0.75388,                 1.1591,                0.80757,                0.71333,                0.80076,                 0.3918,                 1.9059,                 1.1161,                 1.8445,               0.007129,               0.007129,               0.007129
                     31,                 0.9612,                0.73871,                 1.1572,                0.85318,                0.82308,                0.88446,                0.43602,                 1.7371,                 1.0099,                 1.7318,                0.00703,                0.00703,                0.00703
                     32,                0.94509,                0.73748,                 1.1468,                0.88118,                0.73923,                0.85011,                0.38641,                 1.8149,                 1.0712,                 1.7486,               0.006931,               0.006931,               0.006931
                     33,                0.94092,                0.71411,                 1.1368,                 0.8567,                0.75248,                0.84515,                0.44692,                 1.6641,                0.98393,                 1.6325,               0.006832,               0.006832,               0.006832
                     34,                0.92018,                0.70503,                  1.136,                0.84442,                0.79804,                0.88722,                0.42641,                 1.7111,                0.90409,                 1.7037,               0.006733,               0.006733,               0.006733
                     35,                0.91607,                0.68701,                 1.1245,                0.76951,                0.78969,                0.83707,                0.39914,                 1.7231,                 1.0957,                 1.6747,               0.006634,               0.006634,               0.006634
                     36,                0.91312,                0.68568,                 1.1371,                0.86843,                0.80475,                0.88428,                0.43044,                  1.819,                 1.0101,                 1.7768,               0.006535,               0.006535,               0.006535
                     37,                0.88931,                0.68055,                 1.1121,                0.85641,                0.73616,                0.87694,                0.43821,                  1.647,                0.95688,                 1.6643,               0.006436,               0.006436,               0.006436
                     38,                  0.897,                0.67118,                 1.1162,                 0.7359,                0.80588,                0.81019,                0.38983,                 1.8562,                 1.1219,                 1.8214,               0.006337,               0.006337,               0.006337
                     39,                0.89362,                0.66542,                 1.1147,                0.87809,                0.82581,                0.88848,                 0.4443,                 1.7163,                0.85676,                 1.6557,               0.006238,               0.006238,               0.006238
                     40,                0.89204,                0.66909,                 1.1056,                 0.8033,                0.80443,                0.84716,                0.45195,                 1.6193,                 1.0847,                 1.6644,               0.006139,               0.006139,               0.006139
                     41,                0.85833,                0.65155,                 1.0957,                0.76267,                 0.7893,                0.80213,                0.44172,                 1.6932,                0.96368,                 1.6944,                0.00604,                0.00604,                0.00604
                     42,                0.85275,                0.64253,                 1.0967,                0.76683,                0.82087,                0.81921,                0.48079,                 1.6252,                0.89461,                 1.7261,               0.005941,               0.005941,               0.005941
