                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7305,                 3.6655,                 1.7457,                0.06735,                   0.05,                0.02406,                0.00849,                 2.3491,                 3.6793,                 2.2224,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.6251,                 3.0415,                 1.6834,                 0.2943,                0.19231,                0.15483,                 0.0674,                 2.2669,                 3.0747,                 2.2816,               0.084633,              0.0016327,              0.0016327
                      2,                 1.5642,                 2.4103,                 1.6158,                0.52467,                0.19561,                0.17842,                0.07624,                 2.2557,                 2.7028,                 2.3829,               0.076394,              0.0023941,              0.0023941
                      3,                  1.397,                 2.0088,                 1.5318,                0.32519,                0.41548,                0.31818,                0.14364,                 2.1425,                 2.6132,                 2.3052,               0.068084,              0.0030842,              0.0030842
                      4,                 1.3021,                  1.775,                 1.4726,                0.38863,                0.22219,                0.13641,                0.04296,                 2.1764,                 3.1679,                 2.5425,               0.059703,               0.003703,               0.003703
                      5,                 1.2212,                 1.5926,                 1.4131,                0.62765,                 0.4119,                0.46069,                0.20372,                 2.2026,                 2.0537,                 2.3145,               0.051251,              0.0042506,              0.0042506
                      6,                 1.0734,                 1.4841,                 1.3575,                0.56002,                0.60426,                0.58019,                0.23635,                  2.088,                 1.7208,                 2.1422,               0.042727,              0.0047269,              0.0047269
                      7,                 1.1127,                 1.4176,                 1.3259,                0.43445,                0.63214,                0.43587,                 0.1937,                 2.0361,                 1.7823,                 2.1089,               0.034132,              0.0051319,              0.0051319
                      8,                0.98763,                 1.1418,                 1.2471,                0.90916,                0.41392,                0.60094,                0.20061,                 2.2675,                 1.8079,                 2.1455,               0.025466,              0.0054656,              0.0054656
                      9,                0.97249,                 1.0595,                 1.2232,                0.60461,                0.47014,                 0.5409,                0.22388,                 2.0819,                 1.8106,                 2.0522,               0.016728,               0.005728,               0.005728
                     10,                0.95627,                 1.0875,                 1.2115,                0.53267,                0.43267,                 0.5106,                  0.206,                 2.1115,                 2.0826,                 2.1156,              0.0079192,              0.0059192,              0.0059192
                     11,                0.93041,                0.97944,                 1.1993,                0.51166,                 0.5369,                0.51846,                  0.203,                 2.1289,                 1.8859,                 2.1019,               0.005644,               0.005644,               0.005644
                     12,                0.94011,                0.97168,                 1.1674,                0.44672,                0.39405,                0.45013,                0.18742,                 2.2216,                 1.9097,                 2.0476,               0.005644,               0.005644,               0.005644
                     13,                0.91656,                0.98221,                 1.1635,                0.75055,                0.43571,                0.53657,                 0.2441,                 2.1519,                 1.7475,                 2.0465,               0.005248,               0.005248,               0.005248
                     14,                0.87177,                 1.0046,                 1.1629,                0.59602,                0.49238,                0.47208,                0.21355,                 1.9914,                 1.9189,                 2.0217,               0.004852,               0.004852,               0.004852
                     15,                0.94945,                 0.9668,                 1.2276,                0.73793,                0.55833,                  0.578,                0.22545,                 2.2578,                 1.5245,                 2.2513,               0.004456,               0.004456,               0.004456
                     16,                0.93747,                0.86844,                 1.2081,                0.55217,                0.53298,                0.47727,                0.20205,                 2.2745,                 1.7994,                 2.2562,                0.00406,                0.00406,                0.00406
                     17,                0.90443,                0.80423,                 1.1901,                0.58698,                0.54084,                0.49252,                0.21804,                 2.2915,                 1.7089,                 2.4127,               0.003664,               0.003664,               0.003664
                     18,                0.82913,                0.71606,                 1.1491,                0.74958,                0.51436,                0.54178,                0.25281,                 2.0753,                 1.5469,                 2.0698,               0.003268,               0.003268,               0.003268
                     19,                0.84449,                  0.708,                 1.1393,                0.63485,                0.55952,                0.52556,                0.26444,                 2.1214,                 1.4791,                 2.1169,               0.002872,               0.002872,               0.002872
                     20,                0.81311,                0.70155,                 1.1354,                0.56431,                0.53571,                0.49936,                0.22256,                 2.1401,                 1.5495,                 2.1118,               0.002476,               0.002476,               0.002476
                     21,                0.80643,                0.63779,                 1.1294,                0.61728,                0.48414,                0.51805,                0.23494,                 2.1583,                 1.5234,                 2.1091,                0.00208,                0.00208,                0.00208
                     22,                0.74932,                0.62306,                 1.1215,                0.73473,                 0.5369,                0.58278,                0.23838,                 2.1674,                 1.5272,                 2.1684,               0.001684,               0.001684,               0.001684
                     23,                0.74156,                0.57381,                 1.0707,                0.80486,                 0.5381,                0.61121,                0.24383,                 2.1388,                 1.4537,                 2.1941,               0.001288,               0.001288,               0.001288
                     24,                0.81696,                 0.5986,                 1.1259,                0.68881,                0.55481,                0.57393,                0.22134,                 2.1315,                 1.4879,                 2.2104,               0.000892,               0.000892,               0.000892
