                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6903,                 3.9381,                 1.7661,                0.20545,                0.04762,                0.08045,                0.01756,                 2.1777,                 3.9145,                 2.3674,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.5613,                 3.1828,                 1.6852,                0.24092,                0.12024,                0.09493,                0.03424,                   2.46,                 3.2946,                 2.5744,               0.084683,              0.0016832,              0.0016832
                      2,                 1.5268,                 2.5158,                 1.6656,                 0.2457,                0.23929,                0.16315,                0.05175,                 2.4196,                 2.8997,                 2.5418,               0.076549,              0.0025485,              0.0025485
                      3,                 1.3748,                 2.1002,                 1.5766,                0.27337,                0.24167,                0.19778,                0.08792,                 2.1425,                 2.6902,                 2.4689,               0.068396,               0.003396,               0.003396
                      4,                 1.2805,                 1.9082,                 1.5231,                0.46385,                0.36429,                0.34351,                0.15267,                 2.2238,                 2.4492,                 2.5771,               0.060226,              0.0042258,              0.0042258
                      5,                 1.2082,                 1.6906,                 1.4445,                0.78894,                0.41429,                0.44123,                0.17025,                 2.2008,                 1.9737,                 2.4378,               0.052038,              0.0050376,              0.0050376
                      6,                 1.0502,                 1.6427,                 1.3635,                0.63163,                 0.3881,                0.40567,                0.15051,                  2.301,                  2.175,                 2.4927,               0.043832,              0.0058317,              0.0058317
                      7,                 1.0678,                 1.5159,                 1.3373,                0.27187,                 0.1918,                0.26436,                0.11639,                 2.1361,                 2.6026,                 2.2915,               0.035608,               0.006608,               0.006608
                      8,                 1.0025,                 1.3324,                 1.2715,                0.28785,                 0.3619,                 0.3136,                0.10904,                 2.5202,                 2.4622,                 2.6005,               0.027366,              0.0073664,              0.0073664
                      9,                 1.0036,                 1.3279,                 1.2576,                0.43772,                0.40354,                0.42197,                 0.1621,                 2.0407,                 1.9676,                 2.1442,               0.019107,               0.008107,               0.008107
                     10,                 1.0577,                 1.2585,                 1.2848,                0.47697,                0.37024,                0.40965,                0.13518,                 2.3097,                 2.0923,                 2.3018,                0.01083,              0.0088298,              0.0088298
                     11,                 0.9876,                 1.2212,                 1.2611,                0.83486,                0.33154,                0.45624,                0.20486,                 2.0723,                   2.34,                 2.2083,               0.008911,               0.008911,               0.008911
                     12,                 0.9832,                 1.2405,                 1.2155,                0.63448,                0.33502,                0.41108,                0.15699,                 2.3626,                 2.6228,                 2.4948,               0.008911,               0.008911,               0.008911
                     13,                0.98252,                 1.0594,                 1.2113,                0.41798,                0.38452,                0.42936,                  0.216,                  2.126,                 1.9321,                 2.3897,               0.008812,               0.008812,               0.008812
                     14,                0.95534,                  1.115,                 1.2172,                0.59105,                0.50833,                0.53302,                0.18699,                 2.1311,                 1.7694,                 2.2595,               0.008713,               0.008713,               0.008713
                     15,                0.98678,                 1.0233,                 1.2302,                 0.6265,                 0.3869,                0.46146,                0.21172,                 2.4059,                 1.9902,                 2.7455,               0.008614,               0.008614,               0.008614
                     16,                0.96706,                 1.0591,                 1.1962,                0.45773,                 0.3572,                0.36064,                0.15886,                  2.274,                 2.3968,                 2.6086,               0.008515,               0.008515,               0.008515
                     17,                0.93409,                0.96102,                 1.2015,                0.61908,                0.46744,                0.48786,                0.17655,                 2.3945,                 2.0553,                 2.6479,               0.008416,               0.008416,               0.008416
                     18,                0.95614,                0.96519,                 1.2139,                0.68835,                0.43571,                0.52025,                0.20711,                 2.2451,                 1.8078,                 2.3513,               0.008317,               0.008317,               0.008317
                     19,                0.95535,                0.88022,                 1.1884,                0.75947,                0.43206,                0.51488,                0.25443,                 2.2068,                 1.4944,                 2.4127,               0.008218,               0.008218,               0.008218
                     20,                 0.9919,                0.92401,                 1.2363,                0.54189,                0.63095,                0.55736,                 0.2403,                 2.1471,                 1.6768,                 2.3925,               0.008119,               0.008119,               0.008119
                     21,                 0.9437,                0.92338,                 1.1959,                0.75459,                 0.4119,                0.49189,                0.21812,                 2.0369,                 1.8477,                 2.1075,                0.00802,                0.00802,                0.00802
                     22,                0.98602,                0.91575,                 1.2038,                0.50648,                0.40874,                0.36672,                0.12301,                 2.3796,                   2.43,                 2.5682,               0.007921,               0.007921,               0.007921
                     23,                0.86769,                0.88031,                 1.1572,                 0.4063,                0.44673,                0.34003,                0.13249,                  2.316,                 2.2182,                 2.4781,               0.007822,               0.007822,               0.007822
                     24,                0.90456,                0.88702,                 1.1674,                0.67399,                0.39053,                0.43702,                0.15358,                 2.3254,                 2.1234,                 2.6881,               0.007723,               0.007723,               0.007723
                     25,                0.88521,                0.80496,                 1.1646,                0.64133,                0.34405,                0.36551,                0.14533,                 2.2407,                 2.0931,                 2.4802,               0.007624,               0.007624,               0.007624
                     26,                0.93078,                 0.8807,                 1.1652,                0.63366,                0.44048,                0.52018,                0.21211,                  2.134,                 1.6643,                 2.2311,               0.007525,               0.007525,               0.007525
                     27,                0.87122,                0.83596,                 1.1463,                0.60844,                0.48509,                0.46418,                0.14265,                 2.2093,                 2.2763,                 2.1848,               0.007426,               0.007426,               0.007426
                     28,                0.91365,                0.83653,                 1.1926,                0.61251,                0.34167,                0.39906,                0.17217,                  2.194,                 2.3172,                 2.3777,               0.007327,               0.007327,               0.007327
                     29,                0.82751,                0.76414,                 1.1254,                0.36502,                0.28953,                0.23587,                0.08171,                 2.4864,                 2.6169,                 2.9173,               0.007228,               0.007228,               0.007228
                     30,                0.81737,                0.72574,                 1.1058,                0.55599,                0.39048,                0.42017,                 0.1903,                 2.2448,                  2.105,                 2.5955,               0.007129,               0.007129,               0.007129
                     31,                0.86345,                0.79323,                 1.1606,                0.67782,                0.43209,                0.46436,                0.18578,                 2.3077,                 2.0596,                 2.5796,                0.00703,                0.00703,                0.00703
                     32,                0.84466,                0.70899,                 1.1449,                0.56263,                0.39167,                0.36691,                 0.1155,                 2.4709,                 2.3857,                 2.5602,               0.006931,               0.006931,               0.006931
                     33,                0.88449,                 0.7504,                 1.1656,                0.62324,                0.44048,                0.49273,                0.20967,                 2.1599,                 1.9562,                 2.3804,               0.006832,               0.006832,               0.006832
                     34,                0.81387,                0.75171,                 1.1189,                0.56889,                0.34167,                0.34663,                0.14019,                  2.414,                  2.036,                 2.5745,               0.006733,               0.006733,               0.006733
                     35,                0.85998,                0.74998,                 1.1258,                0.57418,                0.43928,                0.43941,                0.19871,                  2.277,                 1.6091,                 2.4535,               0.006634,               0.006634,               0.006634
                     36,                 0.8058,                0.69164,                 1.1108,                  0.534,                 0.5119,                0.45071,                0.18717,                 2.4834,                 1.9105,                 2.7333,               0.006535,               0.006535,               0.006535
                     37,                 0.7514,                0.64842,                 1.1083,                0.53189,                0.60952,                0.56285,                0.27835,                 2.1829,                 1.6146,                 2.3559,               0.006436,               0.006436,               0.006436
                     38,                0.74513,                  0.615,                 1.0714,                0.44209,                0.51429,                0.41536,                0.12964,                  2.496,                 2.0519,                 2.6128,               0.006337,               0.006337,               0.006337
                     39,                0.78443,                0.64473,                 1.0785,                0.53137,                 0.4881,                0.43481,                0.16819,                 2.3942,                 1.8696,                 2.5785,               0.006238,               0.006238,               0.006238
                     40,                0.80582,                0.68251,                 1.1106,                0.47727,                0.39405,                0.37898,                0.14069,                 2.3864,                 2.4499,                  2.451,               0.006139,               0.006139,               0.006139
                     41,                0.77825,                0.64987,                 1.0764,                0.52687,                0.41629,                0.39855,                0.16922,                 2.3001,                  1.997,                 2.4446,                0.00604,                0.00604,                0.00604
                     42,                0.73601,                0.61644,                 1.0587,                0.50794,                0.53067,                0.36703,                0.13224,                 2.4187,                 1.9923,                  2.529,               0.005941,               0.005941,               0.005941
                     43,                0.71889,                0.58308,                 1.0357,                0.53193,                0.58571,                0.44465,                0.17274,                 2.3851,                 1.7571,                 2.5551,               0.005842,               0.005842,               0.005842
                     44,                0.69619,                0.59597,                 1.0589,                0.63545,                 0.5619,                0.57528,                 0.2289,                 2.3567,                 1.6123,                 2.4779,               0.005743,               0.005743,               0.005743
                     45,                0.71403,                0.59393,                 1.0389,                0.58447,                 0.6019,                0.58567,                0.24195,                 2.2583,                 1.5086,                 2.4187,               0.005644,               0.005644,               0.005644
                     46,                0.74322,                0.63881,                 1.0693,                0.72598,                 0.4869,                 0.5412,                 0.2196,                 2.2506,                 1.6988,                 2.3937,               0.005545,               0.005545,               0.005545
                     47,                0.73887,                0.61857,                 1.0753,                0.63847,                0.48571,                0.55909,                0.24472,                 2.2577,                 1.5829,                 2.3673,               0.005446,               0.005446,               0.005446
                     48,                0.73838,                0.62013,                 1.0569,                0.60073,                 0.5119,                0.48287,                0.24454,                 2.1757,                   1.74,                 2.2748,               0.005347,               0.005347,               0.005347
                     49,                0.65419,                0.55371,                 1.0086,                 0.7547,                0.47685,                0.47124,                 0.2157,                 2.3262,                 1.7492,                 2.5049,               0.005248,               0.005248,               0.005248
                     50,                0.67395,                 0.5573,                 1.0158,                0.68481,                0.44969,                0.51386,                0.22208,                 2.3774,                 1.6117,                 2.5238,               0.005149,               0.005149,               0.005149
                     51,                 0.6689,                 0.5568,                 1.0452,                0.65109,                0.50016,                0.53444,                0.22794,                 2.3314,                 1.6003,                   2.49,                0.00505,                0.00505,                0.00505
                     52,                0.67694,                0.56246,                 1.0321,                0.60021,                0.41548,                0.48607,                0.20983,                 2.3653,                 1.6487,                 2.5997,               0.004951,               0.004951,               0.004951
                     53,                0.65255,                0.54852,                 1.0297,                0.61184,                  0.435,                0.41459,                0.16619,                 2.3607,                 1.7567,                 2.6863,               0.004852,               0.004852,               0.004852
                     54,                 0.6564,                0.53171,                 1.0084,                 0.6362,                0.56944,                0.56909,                0.22348,                 2.2426,                 1.7528,                 2.5344,               0.004753,               0.004753,               0.004753
                     55,                0.65868,                0.56597,                 1.0324,                 0.6226,                 0.5631,                0.56406,                 0.2362,                 2.3999,                  1.709,                 2.7924,               0.004654,               0.004654,               0.004654
                     56,                0.59722,                0.52313,                 0.9974,                0.77768,                0.50479,                0.59984,                0.26757,                  2.284,                 1.7681,                 2.6071,               0.004555,               0.004555,               0.004555
                     57,                0.65744,                0.51565,                 1.0189,                0.73823,                0.55347,                0.58241,                0.24561,                 2.2831,                 1.7893,                 2.5237,               0.004456,               0.004456,               0.004456
                     58,                0.63285,                 0.5152,                 1.0232,                 0.7224,                0.60766,                0.56515,                0.23125,                 2.3235,                 1.8005,                 2.5484,               0.004357,               0.004357,               0.004357
                     59,                0.61088,                0.49637,                 1.0001,                0.66817,                0.55007,                0.53696,                0.23597,                 2.1428,                  1.829,                 2.3058,               0.004258,               0.004258,               0.004258
                     60,                0.59676,                0.51055,                0.98096,                0.85785,                0.46548,                0.60482,                0.25792,                 2.1787,                 1.7186,                 2.4133,               0.004159,               0.004159,               0.004159
                     61,                0.59018,                0.49682,                0.98855,                0.81125,                0.49048,                0.61549,                0.25774,                 2.2835,                 1.5891,                 2.5524,                0.00406,                0.00406,                0.00406
                     62,                0.59369,                 0.4986,                0.97727,                 0.5573,                0.63783,                0.59174,                0.26312,                 2.2435,                 1.6093,                 2.4909,               0.003961,               0.003961,               0.003961
                     63,                0.59509,                0.47631,                0.98531,                0.68059,                 0.5381,                 0.5791,                0.25656,                  2.314,                 1.5498,                 2.6397,               0.003862,               0.003862,               0.003862
                     64,                0.57189,                0.48111,                0.98885,                0.69772,                 0.5869,                0.60567,                0.22768,                 2.3567,                  1.772,                 2.6421,               0.003763,               0.003763,               0.003763
                     65,                 0.6278,                0.47755,                 1.0005,                0.68468,                 0.5381,                0.54072,                 0.2437,                 2.2231,                 1.8023,                 2.4821,               0.003664,               0.003664,               0.003664
