                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7305,                 3.6655,                 1.7457,                0.06735,                   0.05,                0.02406,                0.00849,                 2.3491,                 3.6793,                 2.2224,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.6108,                 3.0098,                 1.6805,                0.35224,                0.21548,                0.17797,                0.08113,                 2.2252,                 2.9684,                 2.2442,               0.084683,              0.0016832,              0.0016832
                      2,                 1.5556,                 2.3618,                 1.6187,                0.95217,                0.19048,                0.28851,                0.10741,                 2.2455,                 2.7577,                 2.3422,               0.076549,              0.0025485,              0.0025485
                      3,                 1.4005,                 2.0127,                 1.5283,                0.32148,                0.38571,                0.32693,                0.12508,                 2.2112,                 2.3908,                 2.2447,               0.068396,               0.003396,               0.003396
                      4,                 1.3057,                 1.7891,                 1.4727,                0.41476,                0.17262,                0.14746,                0.05857,                 2.1146,                 3.1173,                 2.3348,               0.060226,              0.0042258,              0.0042258
                      5,                 1.1779,                 1.5856,                 1.3737,                0.36243,                0.39006,                0.31716,                0.14214,                 2.0062,                 2.3505,                 2.1154,               0.052038,              0.0050376,              0.0050376
                      6,                 1.1021,                 1.4773,                 1.3496,                0.46826,                0.48571,                0.45872,                0.17681,                 2.2219,                 2.1658,                 2.2511,               0.043832,              0.0058317,              0.0058317
                      7,                  1.118,                  1.502,                 1.3094,                0.57486,                0.22313,                0.30541,                0.15546,                 2.1059,                 2.8822,                 2.1413,               0.035608,               0.006608,               0.006608
                      8,                 1.0226,                 1.2431,                 1.2535,                0.56091,                0.35098,                0.42657,                0.18039,                 2.0371,                 2.3069,                 2.0146,               0.027366,              0.0073664,              0.0073664
                      9,                0.96266,                 1.1694,                  1.214,                0.59732,                 0.4131,                0.42144,                0.16457,                 2.0851,                 2.0992,                 1.9538,               0.019107,               0.008107,               0.008107
                     10,                 0.9754,                 1.1322,                 1.2074,                0.41186,                0.55234,                0.43142,                0.17435,                  2.192,                  2.034,                 2.0339,                0.01083,              0.0088298,              0.0088298
                     11,                0.95796,                 1.0768,                 1.2107,                0.38741,                0.14111,                 0.1484,                0.06673,                 2.3795,                 3.2745,                 2.5937,               0.008911,               0.008911,               0.008911
                     12,                0.96959,                 1.1422,                 1.1721,                  0.483,                0.29048,                0.29256,                0.15661,                 1.9948,                 2.4253,                 2.0603,               0.008911,               0.008911,               0.008911
                     13,                0.95159,                 1.1239,                 1.1742,                0.60692,                 0.3381,                0.37571,                0.14663,                 2.3875,                 2.0592,                 2.3089,               0.008812,               0.008812,               0.008812
                     14,                0.90307,                0.96767,                 1.1393,                 0.5487,                0.48627,                0.39263,                0.17668,                 2.2588,                 2.2568,                 2.1842,               0.008713,               0.008713,               0.008713
                     15,                0.98046,                 0.9727,                  1.181,                0.71993,                0.36429,                0.42319,                0.18525,                 2.1931,                 2.0017,                 2.1175,               0.008614,               0.008614,               0.008614
                     16,                0.94081,                0.97756,                 1.1544,                 0.6953,                 0.5631,                  0.601,                0.28254,                 2.1065,                  1.867,                 2.0716,               0.008515,               0.008515,               0.008515
                     17,                0.96802,                0.90669,                 1.1782,                0.67825,                 0.5631,                0.58061,                0.28434,                 2.1297,                 1.8062,                 2.0944,               0.008416,               0.008416,               0.008416
                     18,                0.97781,                0.92496,                  1.175,                0.58979,                0.51103,                0.56847,                 0.2251,                 2.3094,                 1.7209,                 2.2003,               0.008317,               0.008317,               0.008317
                     19,                0.93509,                0.85503,                 1.1469,                0.41218,                0.60714,                0.48375,                0.16981,                 2.3538,                 1.7829,                 2.2667,               0.008218,               0.008218,               0.008218
                     20,                0.94016,                0.88714,                  1.175,                 0.6471,                 0.3881,                0.42567,                 0.1431,                 2.4064,                 1.9601,                 2.3211,               0.008119,               0.008119,               0.008119
                     21,                0.89937,                0.82131,                 1.1239,                 0.5378,                0.50929,                 0.4874,                0.17592,                  2.249,                 1.7345,                 2.1801,                0.00802,                0.00802,                0.00802
                     22,                0.95472,                0.82274,                 1.1582,                0.50193,                0.58974,                0.51061,                0.22808,                 2.0843,                 1.7172,                  2.146,               0.007921,               0.007921,               0.007921
                     23,                0.84662,                0.80262,                  1.081,                0.59787,                 0.5619,                0.50065,                0.18096,                 2.2398,                 2.0307,                 2.2645,               0.007822,               0.007822,               0.007822
                     24,                 0.8748,                0.83453,                 1.0914,                0.52162,                0.51565,                0.51496,                0.18237,                 2.2369,                 1.9892,                 2.2539,               0.007723,               0.007723,               0.007723
                     25,                0.89281,                0.81732,                 1.1339,                0.62152,                 0.5119,                0.52177,                 0.2337,                 2.1318,                 1.6272,                 2.2913,               0.007624,               0.007624,               0.007624
                     26,                0.91879,                0.82249,                 1.1382,                0.55945,                0.43929,                0.43512,                0.17469,                 2.1284,                 1.8931,                    2.2,               0.007525,               0.007525,               0.007525
                     27,                0.86573,                0.80029,                 1.1198,                0.52362,                0.43138,                0.43057,                0.14278,                 2.2665,                 1.9913,                 2.2735,               0.007426,               0.007426,               0.007426
                     28,                0.89721,                0.79788,                 1.1458,                0.64637,                 0.5119,                0.53709,                0.19269,                 2.3331,                 1.5978,                 2.3443,               0.007327,               0.007327,               0.007327
                     29,                0.81905,                0.72255,                 1.0906,                0.66494,                0.53355,                0.52315,                0.21218,                 2.2726,                 1.8688,                 2.2384,               0.007228,               0.007228,               0.007228
                     30,                0.81435,                0.68682,                 1.0759,                0.56455,                 0.5142,                0.50676,                0.17321,                 2.5969,                 2.0503,                 2.6284,               0.007129,               0.007129,               0.007129
                     31,                0.86738,                0.76236,                 1.1258,                0.56636,                0.53666,                0.48286,                0.17655,                 2.4074,                 1.8136,                 2.4916,                0.00703,                0.00703,                0.00703
                     32,                0.82769,                0.66962,                 1.1104,                 0.6674,                0.51548,                0.55119,                0.16945,                 2.5343,                 1.7975,                 2.6772,               0.006931,               0.006931,               0.006931
                     33,                0.85149,                0.72218,                 1.1028,                0.78579,                0.49339,                0.58189,                0.25683,                 2.1608,                 1.6974,                 2.2018,               0.006832,               0.006832,               0.006832
                     34,                0.76779,                0.71433,                 1.0795,                0.62229,                0.62845,                0.62244,                0.27114,                 2.1767,                 1.7757,                 2.2066,               0.006733,               0.006733,               0.006733
                     35,                 0.8134,                0.71197,                 1.0768,                0.60027,                0.63214,                0.63968,                0.29982,                 2.1213,                 1.6472,                 2.2075,               0.006634,               0.006634,               0.006634
                     36,                0.79361,                0.68086,                 1.0621,                0.57344,                0.64504,                 0.5822,                0.25237,                 2.2348,                 1.6223,                 2.2615,               0.006535,               0.006535,               0.006535
                     37,                0.72513,                0.62846,                 1.0591,                0.71097,                0.62705,                 0.6266,                0.28545,                 2.0799,                 1.4803,                 2.1256,               0.006436,               0.006436,               0.006436
                     38,                0.73207,                0.60912,                 1.0288,                0.63041,                0.59905,                0.57765,                0.24119,                 2.1605,                 1.7704,                 2.1463,               0.006337,               0.006337,               0.006337
                     39,                0.81496,                0.64847,                 1.0777,                0.66648,                0.46157,                0.48298,                0.21588,                 2.1582,                 1.7474,                 2.1856,               0.006238,               0.006238,               0.006238
                     40,                 0.7658,                0.66056,                 1.0712,                0.59847,                0.51667,                0.43951,                0.20049,                 2.1157,                 1.8892,                 2.0863,               0.006139,               0.006139,               0.006139
                     41,                0.75473,                0.62447,                  1.046,                  0.619,                0.44286,                0.42151,                0.18442,                 2.1436,                 1.9319,                 2.1331,                0.00604,                0.00604,                0.00604
                     42,                0.74136,                 0.6015,                 1.0481,                0.87876,                 0.6119,                0.68537,                0.27052,                 2.1036,                 1.5719,                 2.0964,               0.005941,               0.005941,               0.005941
                     43,                0.69758,                0.54633,                 1.0009,                0.60006,                0.63947,                0.61357,                0.26023,                 2.0256,                 1.5838,                 2.0804,               0.005842,               0.005842,               0.005842
                     44,                0.67599,                 0.5882,                 1.0176,                0.62233,                0.44009,                0.53209,                0.21192,                 2.2187,                 1.8579,                 2.2786,               0.005743,               0.005743,               0.005743
                     45,                0.70802,                0.58147,                 1.0149,                0.56252,                0.48929,                0.51352,                0.21409,                  2.186,                 1.9332,                  2.272,               0.005644,               0.005644,               0.005644
                     46,                0.72138,                0.62301,                 1.0329,                 0.8408,                0.46548,                0.57423,                0.23348,                 2.2035,                  1.897,                 2.2453,               0.005545,               0.005545,               0.005545
                     47,                0.72932,                0.60152,                 1.0401,                0.56044,                0.57933,                0.60637,                0.25786,                 2.2275,                  1.544,                 2.2292,               0.005446,               0.005446,               0.005446
                     48,                0.69776,                0.60248,                 1.0138,                0.80489,                0.56429,                0.62325,                0.24513,                 2.2131,                 1.5583,                 2.3082,               0.005347,               0.005347,               0.005347
                     49,                0.68149,                0.56678,                0.99875,                0.71555,                0.56429,                0.59989,                0.26245,                  2.097,                 1.4692,                 2.1199,               0.005248,               0.005248,               0.005248
                     50,                0.70374,                0.56334,                 1.0205,                0.57552,                 0.5631,                0.54489,                0.25462,                 2.1745,                 1.4998,                 2.3036,               0.005149,               0.005149,               0.005149
                     51,                0.68949,                0.54994,                  1.003,                0.68131,                0.54749,                0.58337,                0.25746,                 2.1897,                 1.5548,                 2.2399,                0.00505,                0.00505,                0.00505
                     52,                 0.7094,                0.54262,                  1.008,                0.63781,                0.45083,                 0.4369,                0.21826,                 2.2039,                 1.6456,                 2.2574,               0.004951,               0.004951,               0.004951
                     53,                0.66055,                0.53501,                 1.0094,                0.61239,                0.56136,                0.50914,                0.21785,                 2.3334,                 1.7018,                 2.4086,               0.004852,               0.004852,               0.004852
                     54,                0.65098,                0.53532,                0.99653,                 0.6732,                 0.5881,                0.58123,                0.27688,                 2.1193,                 1.4415,                 2.2109,               0.004753,               0.004753,               0.004753
                     55,                0.64499,                0.52081,                 1.0058,                0.57964,                0.51548,                0.49479,                0.21028,                 2.1887,                 1.7142,                 2.2956,               0.004654,               0.004654,               0.004654
                     56,                0.59468,                0.49822,                0.98366,                0.68215,                0.50915,                 0.5638,                0.23802,                 2.2327,                 1.5336,                 2.3715,               0.004555,               0.004555,               0.004555
                     57,                0.64313,                0.51725,                0.99694,                0.65703,                0.52932,                0.53993,                0.23726,                 2.4078,                 1.5516,                 2.6111,               0.004456,               0.004456,               0.004456
                     58,                0.63005,                0.51619,                 0.9905,                0.73877,                0.58709,                0.61789,                  0.262,                  2.389,                 1.6307,                 2.5431,               0.004357,               0.004357,               0.004357
                     59,                 0.6295,                0.49992,                 0.9927,                 0.7003,                0.56048,                0.58158,                 0.2585,                  2.288,                 1.6579,                 2.3841,               0.004258,               0.004258,               0.004258
