                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.786,                 3.0765,                 1.9336,                0.27221,                   0.75,                0.44383,                0.18874,                 2.2075,                  2.707,                 2.5036,                    0.1,                      0,                      0
                      1,                 1.8126,                 3.6395,                 1.9325,                0.32057,                   0.75,                0.43719,                0.18017,                 2.2809,                 2.6989,                 2.5987,               0.099096,              9.604e-05,              9.604e-05
                      2,                 1.7507,                 2.9622,                 1.9125,                0.34088,                   0.75,                0.43676,                0.18095,                 2.3196,                 2.6907,                 2.6305,               0.098184,             0.00018416,             0.00018416
                      3,                 2.2164,                 3.6372,                 2.1727,                0.34521,                   0.75,                0.31403,                0.11031,                 2.3207,                 2.6825,                 2.6385,               0.097264,             0.00026436,             0.00026436
                      4,                 1.9741,                 3.5059,                 2.0327,                 0.3453,                   0.75,                0.43595,                0.12142,                 2.3253,                 2.6891,                 2.6767,               0.096337,             0.00033664,             0.00033664
                      5,                 1.8198,                 3.0484,                 1.9822,                0.29505,                   0.75,                0.31319,                0.12458,                 2.3217,                 2.7168,                 2.6828,               0.095401,               0.000401,               0.000401
                      6,                 2.1051,                 3.2283,                 2.0573,                0.39848,                0.67101,                0.33989,                0.13153,                 2.2781,                 2.5918,                 2.6448,               0.094457,             0.00045744,             0.00045744
                      7,                 1.9551,                  3.159,                 2.0658,                0.32115,                   0.75,                0.41486,                0.15181,                 2.2723,                 2.5189,                 2.6345,               0.093506,             0.00050596,             0.00050596
                      8,                 1.9691,                 4.0834,                 2.0797,                0.33528,                    0.5,                0.43137,                0.13449,                 2.2484,                 2.5498,                 2.6277,               0.092547,             0.00054656,             0.00054656
                      9,                 1.8488,                 2.7223,                 1.9627,                0.33223,                    0.5,                0.45672,                 0.1693,                 2.1938,                 2.5032,                 2.5499,               0.091579,             0.00057924,             0.00057924
                     10,                 2.1744,                 3.0928,                 2.2173,                0.32763,                0.73289,                  0.432,                0.16531,                 2.1344,                 2.4116,                 2.5285,               0.090604,               0.000604,               0.000604
                     11,                 1.7467,                 2.5037,                 1.9571,                0.33162,                   0.75,                0.41643,                0.19444,                 2.0833,                 2.3708,                 2.5026,               0.089621,             0.00062084,             0.00062084
                     12,                 1.6294,                 2.3123,                 1.8308,                 0.4114,                0.70492,                 0.4697,                 0.1799,                 2.1598,                 2.3087,                 2.5292,                0.08863,             0.00062976,             0.00062976
                     13,                 1.8584,                 2.4142,                  1.868,                 0.4177,                0.72146,                0.47148,                0.20819,                 2.1867,                 2.1756,                 2.5445,               0.087631,             0.00063076,             0.00063076
                     14,                 1.8112,                 2.4596,                 2.0401,                0.41139,                0.52847,                0.50676,                0.24098,                 2.1679,                 2.2093,                  2.469,               0.086624,             0.00062384,             0.00062384
                     15,                 2.0256,                 3.7127,                 2.4717,                 0.3766,                    0.5,                0.48891,                 0.2344,                 2.2184,                 2.1987,                 2.4402,               0.085609,               0.000609,               0.000609
                     16,                 1.8076,                  3.605,                 2.2098,                0.47795,                0.69488,                0.50624,                0.24341,                  2.147,                 2.2926,                 2.3634,               0.084586,             0.00058624,             0.00058624
                     17,                 1.8365,                 3.0712,                 2.0798,                0.47795,                0.69488,                0.50624,                0.24341,                  2.147,                 2.2926,                 2.3634,               0.083556,             0.00055556,             0.00055556
                     18,                 1.8291,                 2.8193,                 2.2978,                0.28796,                    0.5,                0.45024,                0.22842,                 2.0765,                 2.5463,                 2.2793,               0.082517,             0.00051696,             0.00051696
                     19,                 1.7568,                 2.9795,                 2.1193,                0.28796,                    0.5,                0.45024,                0.22842,                 2.0765,                 2.5463,                 2.2793,                0.08147,             0.00047044,             0.00047044
                     20,                 2.0661,                 2.8674,                 2.1878,                0.29928,                   0.75,                0.47833,                0.23353,                 1.9706,                 2.5598,                 2.2113,               0.080416,               0.000416,               0.000416
                     21,                 1.7103,                 2.6976,                 1.9158,                0.29928,                   0.75,                0.47833,                0.23353,                 1.9706,                 2.5598,                 2.2113,               0.079354,             0.00035364,             0.00035364
                     22,                 1.8755,                 2.8569,                 2.1516,                0.40184,                   0.75,                0.52595,                0.25085,                 1.8198,                 2.6286,                   2.16,               0.078283,             0.00028336,             0.00028336
                     23,                 1.8673,                 3.0922,                 2.0259,                0.40184,                   0.75,                0.52595,                0.25085,                 1.8198,                 2.6286,                   2.16,               0.077205,             0.00020516,             0.00020516
                     24,                 1.9784,                 2.6387,                  2.533,                0.32421,                   0.75,                0.42303,                0.23202,                 1.8731,                 2.5293,                 2.1652,               0.076119,             0.00011904,             0.00011904
